        numOfIt             y1             y2             tk
            154      0.0615811      -0.416725      0.0602087
            155      0.0619772      -0.416719      0.0605951
            156      0.0623733      -0.416712      0.0609814
            157      0.0627695      -0.416705      0.0613677
            158      0.0631656      -0.416697      0.0617539
            159      0.0635618      -0.416689      0.0621401
            160      0.0639579      -0.416681      0.0625262
            161      0.0643541      -0.416672      0.0629123
            162      0.0647502      -0.416662      0.0632983
            163      0.0651464      -0.416653      0.0636842
            164      0.0655426      -0.416642      0.0640701
            165      0.0659387      -0.416631       0.064456
            166      0.0663349       -0.41662      0.0648417
            167       0.066731      -0.416608      0.0652274
            168      0.0671272      -0.416596      0.0656131
            169      0.0675234      -0.416583      0.0659987
            170      0.0679196       -0.41657      0.0663843
            171      0.0683157      -0.416556      0.0667698
            172      0.0687119      -0.416542      0.0671552
            173      0.0691081      -0.416527      0.0675406
            174      0.0695043      -0.416512      0.0679259
            175      0.0699005      -0.416497      0.0683112
            176      0.0702966      -0.416481      0.0686964
            177      0.0706928      -0.416464      0.0690815
            178       0.071089      -0.416447      0.0694666
            179      0.0714852       -0.41643      0.0698517
            180      0.0718814      -0.416412      0.0702367
            181      0.0722776      -0.416393      0.0706216
            182      0.0726738      -0.416374      0.0710065
            183        0.07307      -0.416355      0.0713913
            184      0.0734662      -0.416335      0.0717761
            185      0.0738624      -0.416315      0.0721608
            186      0.0742586      -0.416294      0.0725455
            187      0.0746548      -0.416273      0.0729301
            188      0.0750511      -0.416251      0.0733146
            189      0.0754473      -0.416229      0.0736991
            190      0.0758435      -0.416206      0.0740835
            191      0.0762397      -0.416183      0.0744679
            192      0.0766359       -0.41616      0.0748522
            193      0.0770322      -0.416136      0.0752365
            194      0.0774284      -0.416111      0.0756207
            195      0.0778246      -0.416086      0.0760049
            196      0.0782208      -0.416061       0.076389
            197      0.0786171      -0.416035      0.0767731
            198      0.0790133      -0.416008      0.0771571
            199      0.0794096      -0.415981       0.077541
            200      0.0798058      -0.415954      0.0779249
            201       0.080202      -0.415926      0.0783087
            202      0.0805983      -0.415898      0.0786925
            203      0.0809945      -0.415869      0.0790762
            204      0.0813908       -0.41584      0.0794599
            205       0.081787       -0.41581      0.0798435
            206      0.0821833       -0.41578      0.0802271
            207      0.0825795      -0.415749      0.0806106
            208      0.0829758      -0.415718       0.080994
            209      0.0833721      -0.415687      0.0813774
            210      0.0837683      -0.415655      0.0817608
            211      0.0841646      -0.415622      0.0821441
            212      0.0845608      -0.415589      0.0825273
            213      0.0849571      -0.415556      0.0829105
            214      0.0853534      -0.415522      0.0832936
            215      0.0857497      -0.415487      0.0836767
            216      0.0861459      -0.415452      0.0840597
            217      0.0865422      -0.415417      0.0844427
            218      0.0869385      -0.415381      0.0848256
            219      0.0873348      -0.415345      0.0852084
            220      0.0877311      -0.415308      0.0855912
            221      0.0881273      -0.415271       0.085974
            222      0.0885236      -0.415233      0.0863567
            223      0.0889199      -0.415195      0.0867393
            224      0.0893162      -0.415157      0.0871219
            225      0.0897125      -0.415117      0.0875045
            226      0.0901088      -0.415078      0.0878869
            227      0.0905051      -0.415038      0.0882694
            228      0.0909014      -0.414997      0.0886518
            229      0.0912977      -0.414956      0.0890341
            230       0.091694      -0.414915      0.0894164
            231      0.0920903      -0.414873      0.0897986
            232      0.0924866      -0.414831      0.0901807
            233      0.0928829      -0.414788      0.0905629
            234      0.0932793      -0.414745      0.0909449
            235      0.0936756      -0.414701      0.0913269
            236      0.0940719      -0.414657      0.0917089
            237      0.0944682      -0.414612      0.0920908
            238      0.0948645      -0.414567      0.0924726
            239      0.0952609      -0.414521      0.0928544
            240      0.0956572      -0.414475      0.0932362
            241      0.0960535      -0.414428      0.0936179
            242      0.0964498      -0.414381      0.0939995
            243      0.0968462      -0.414334      0.0943811
            244      0.0972425      -0.414286      0.0947626
            245      0.0976389      -0.414237      0.0951441
            246      0.0980352      -0.414188      0.0955256
            247      0.0984315      -0.414139      0.0959069
            248      0.0988279      -0.414089      0.0962883
            249      0.0992242      -0.414039      0.0966695
            250      0.0996206      -0.413988      0.0970508
            251       0.100017      -0.413937      0.0974319
            252       0.100413      -0.413885      0.0978131
            253        0.10081      -0.413833      0.0981941
            254       0.101206       -0.41378      0.0985752
            255       0.101602      -0.413727      0.0989561
            256       0.101999      -0.413674       0.099337
            257       0.102395       -0.41362      0.0997179
            258       0.102791      -0.413565       0.100099
            259       0.103188       -0.41351       0.100479
            260       0.103584      -0.413455        0.10086
            261       0.103981      -0.413399       0.101241
            262       0.104377      -0.413343       0.101621
            263       0.104773      -0.413286       0.102002
            264        0.10517      -0.413228       0.102383
            265       0.105566      -0.413171       0.102763
            266       0.105962      -0.413112       0.103143
            267       0.106359      -0.413054       0.103524
            268       0.106755      -0.412995       0.103904
            269       0.107152      -0.412935       0.104284
            270       0.107548      -0.412875       0.104664
            271       0.107944      -0.412814       0.105045
            272       0.108341      -0.412753       0.105425
            273       0.108737      -0.412692       0.105805
            274       0.109134       -0.41263       0.106185
            275        0.10953      -0.412567       0.106565
            276       0.109926      -0.412504       0.106945
            277       0.110323      -0.412441       0.107324
            278       0.110719      -0.412377       0.107704
            279       0.111116      -0.412313       0.108084
            280       0.111512      -0.412248       0.108464
            281       0.111908      -0.412183       0.108843
            282       0.112305      -0.412117       0.109223
            283       0.112701      -0.412051       0.109603
            284       0.113098      -0.411985       0.109982
            285       0.113494      -0.411918       0.110361
            286        0.11389       -0.41185       0.110741
